year,period,resident_total,age_0_18,adult_19_plus,sha256,source_id
2020,2020-12-31,51829023,8204990,43624033,6ba04968de0abf4cd5e69e01359a4f3a378565a219a8f9cb6822949e2af53952,SRC-MOIS-RESIDENT-AGE
2021,2021-12-31,51638809,7976210,43662599,6a2637e13090670562f7610cdca30883e0917dbf2830c20173239c441b635b8b,SRC-MOIS-RESIDENT-AGE
2022,2022-12-31,51439038,7744082,43694956,9b159fc3ac269c59e26a952780f046a2676a8309e7c740db1ee59a1882fc8155,SRC-MOIS-RESIDENT-AGE
2023,2023-12-31,51325329,7512231,43813098,40349dcb704df651f0eaf862dd9efdc92079c7ae5819adb2b8fd559ef70fa273,SRC-MOIS-RESIDENT-AGE
2024,2024-12-31,51217221,7324873,43892348,5538925fb74e1a7fcd5a4156b86e013e7924293438e4711650df4d91bdf34509,SRC-MOIS-RESIDENT-AGE
